,mu,mu_star,sigma,mu_star_conf
C4H4 + H <=> H2 + H2CCCCH,1.0796535940605748e-07,1.4459116458427365e-07,1.5119727131576716e-07,8.524843350678348e-08
C4H4 + O <=> H2CCCH + HCO,-9.865800726819121e-09,5.106450794147591e-07,7.1423884717542e-07,3.2998609439829953e-07
C4H4 + M <=> H + H2CCCCH + M,-3.9477959938367565e-08,1.9750767535069727e-07,2.800597467386078e-07,1.3777418442712495e-07
C4H4 <=> 2 C2H2,2.475810226545482e-07,5.257505450911839e-07,5.765488455656072e-07,1.797976177351296e-07
C3H2 + CH3 <=> C4H4 + H,-1.8977284452730472e-07,2.961055968518849e-07,3.8174314385539856e-07,2.2475649425931278e-07
C2H + C2H4 <=> C4H4 + H,-7.75452560197032e-08,1.1920834206256436e-07,1.6445677027305527e-07,1.0691176322614039e-07
C2H + i-C4H5 <=> 2 H2CCCH,6.126314457346896e-08,3.6746903651643333e-07,4.0857203334768016e-07,4.417383060191464e-08
OH + i-C4H5 <=> C4H4 + H2O,-2.7535640665491035e-07,3.149051245572964e-07,4.402083296167413e-07,3.0393767461751993e-07
H + i-C4H5 <=> CH3 + H2CCCH,1.1693474381431379e-07,1.5552036146504236e-07,2.1012749159106006e-07,1.45751968924402e-07
H + i-C4H5 <=> C4H4 + H2,3.553218905901162e-08,3.577559656984733e-07,4.782305376573916e-07,1.8988728313297452e-07
O2 + i-C4H5 <=> CH2CHO + CH2CO,-9.359803505714509e-08,2.1177499293071776e-07,2.354204938834476e-07,7.805745736813971e-08
O2 + i-C4H5 <=> C4H4 + HO2,-1.5933350287778287e-07,4.865740441722599e-07,6.406324272161941e-07,3.1453778063289053e-07
i-C4H5 (+M) <=> C4H4 + H (+M),5.2109011811916815e-08,2.4865323434786073e-07,2.8274616303316496e-07,6.827863196442704e-08
i-C4H5 + M <=> C2H2 + C2H3 + M,-1.5713889257923987e-07,2.3184181570589064e-07,3.2116252141032937e-07,2.1678835139062327e-07
2 C2H3 <=> H + i-C4H5,-7.838782849899924e-08,2.284892948301124e-07,3.1790730080651784e-07,1.4914482191770442e-07
C4H6 + H2CCCH <=> C3H4 + i-C4H5,-2.117354026455782e-07,2.117354026455782e-07,9.726153489460816e-08,8.449222993084172e-08
C2H3 + C4H6 <=> C2H4 + i-C4H5,-2.773518175049461e-07,3.3272553560600654e-07,4.091860122832581e-07,2.727992661708038e-07
C4H6 + CH3 <=> CH4 + i-C4H5,2.8067132163504735e-07,4.6963367312607036e-07,6.153835142078307e-07,3.7300348192540154e-07
C4H6 + OH <=> C2H3 + CH3CHO,1.735486436484642e-07,2.8903220008956074e-07,3.555001803277213e-07,1.9604704570521683e-07
C4H6 + OH <=> C2H5 + CH2CO,-1.9305290929937658e-07,3.399584836112311e-07,3.590608261800852e-07,1.4265791301391512e-07
C4H6 + OH <=> H2O + i-C4H5,3.2914620485575156e-07,4.040801826042325e-07,4.6776102459564565e-07,3.238311458110624e-07
C4H6 + H <=> H2 + i-C4H5,2.5397878152196333e-07,4.117869505931734e-07,5.993489446509821e-07,4.229534749359042e-07
C4H6 + H <=> C3H4 + CH3,-2.562807929123065e-07,3.111974905167572e-07,2.8376713677554664e-07,1.702111371782341e-07
C4H6 + O <=> C3H5 + CO + H,5.3863052414553e-08,4.5244754972382015e-07,6.530675448812371e-07,3.18161795746644e-07
C4H6 + O <=> OH + i-C4H5,-1.5353411235165103e-07,4.608982695470062e-07,5.893747238342671e-07,2.670507378858912e-07
C4H6 + O2 <=> HO2 + i-C4H5,-7.444223437580143e-08,5.998407460473198e-07,7.301654917041571e-07,2.574673714364548e-07
C4H6 <=> C2H2 + C2H4,4.234342388088029e-08,3.8267714224979567e-07,5.437368883417557e-07,2.852134647557309e-07
C4H6 <=> C4H4 + H2,5.330234341227553e-08,1.2313111201834242e-07,1.2999153614106238e-07,2.9214246581357753e-08
C4H6 <=> H + i-C4H5,-1.147135776766147e-07,4.953253370823818e-07,7.352851854307642e-07,3.7008316026802046e-07
CH3 + H2CCCH (+M) <=> C4H6 (+M),-3.830937078448389e-07,4.716694056257996e-07,4.4263438781688315e-07,2.553771892874269e-07
C2H3 + C2H4 <=> C4H6 + H,2.1527662389190982e-07,6.891194364540622e-07,7.828248397926751e-07,2.4507006153999046e-07
2 C2H3 <=> C4H6,2.161370235449433e-06,2.161370235449433e-06,2.285431230822653e-06,1.7732805184093188e-06
C3H5 + nC4H7 <=> C3H6 + C4H6,-1.488414739047701e-07,2.6802940996532425e-07,3.4425182733946337e-07,2.0040190963931147e-07
C2H5 + nC4H7 <=> C2H6 + C4H6,-9.595414519651614e-08,2.3667699083797092e-07,3.157995440799672e-07,1.6686137753393489e-07
C2H3 + nC4H7 <=> C2H4 + C4H6,5.2688253526812644e-08,1.6720511938482195e-07,2.064047419714388e-07,8.12992328069787e-08
CH3 + nC4H7 <=> C4H6 + CH4,-4.2235537449938995e-08,1.6901578290972907e-07,2.355845974012457e-07,1.0965902626319707e-07
H + nC4H7 <=> C4H6 + H2,-1.8377465825777856e-07,3.2186086340152793e-07,4.0164421558125294e-07,2.0036384710814692e-07
